Date,Open,High,Low,Close
2019-09-27,12327.790039,12404.469727,12324.709961,12380.940430
2019-09-30,12367.809570,12441.030273,12346.940430,12428.080078
2019-10-01,12469.669922,12497.280273,12263.830078,12263.830078
2019-10-02,12221.740234,12226.860352,11925.250000,11925.250000
2019-10-04,11958.309570,12012.910156,11878.980469,12012.809570
2019-10-07,12008.769531,12105.089844,11969.320313,12097.429688
2019-10-08,12097.889648,12097.940430,11933.019531,11970.200195
2019-10-09,11973.820313,12165.530273,11953.120117,12094.259766
2019-10-10,12082.889648,12202.709961,12029.459961,12164.200195
2019-10-11,12248.879883,12511.650391,12240.940430,12511.650391
2019-10-14,12468.780273,12495.240234,12387.950195,12486.559570
2019-10-15,12565.679688,12682.400391,12511.900391,12629.790039
2019-10-16,12644.179688,12698.370117,12603.830078,12670.110352
2019-10-17,12655.320313,12814.490234,12647.860352,12654.950195
2019-10-18,12637.009766,12700.379883,12603.169922,12633.599609
2019-10-21,12661.929688,12787.349609,12646.280273,12747.959961
2019-10-22,12757.730469,12791.309570,12730.700195,12754.690430
2019-10-23,12702.919922,12819.219727,12699.849609,12798.190430
2019-10-24,12860.629883,12914.240234,12820.669922,12872.099609
2019-10-25,12886.419922,12895.849609,12834.000000,12894.509766
2019-10-28,12897.400391,12986.490234,12892.839844,12941.709961
2019-10-29,12946.339844,12951.879883,12897.339844,12939.620117
2019-10-30,12929.419922,12944.259766,12830.330078,12910.230469
2019-10-31,12937.589844,12953.339844,12795.089844,12866.790039
2019-11-01,12912.089844,12992.070313,12896.719727,12961.049805
2019-11-04,13022.950195,13171.169922,13019.179688,13136.280273
2019-11-05,13134.330078,13166.080078,13112.650391,13148.500000
2019-11-06,13150.940430,13187.660156,13110.910156,13179.889648
2019-11-07,13258.259766,13300.759766,13227.370117,13289.459961
2019-11-08,13248.620117,13278.179688,13195.830078,13228.559570
2019-11-11,13170.179688,13225.620117,13144.089844,13198.370117
2019-11-12,13243.530273,13308.259766,13214.660156,13283.509766
2019-11-13,13244.049805,13273.820313,13139.250000,13230.070313
2019-11-14,13198.330078,13219.299805,13159.690430,13180.230469
2019-11-15,13261.719727,13261.719727,13172.889648,13241.750000
2019-11-18,13255.780273,13282.410156,13137.879883,13207.009766
2019-11-19,13235.280273,13374.269531,13187.910156,13221.120117
2019-11-20,13127.450195,13182.219727,13071.330078,13158.139648
2019-11-21,13083.000000,13171.849609,13043.900391,13137.700195
2019-11-22,13145.769531,13244.570313,13120.629883,13163.879883
2019-11-25,13247.509766,13268.969727,13210.250000,13246.450195
2019-11-26,13256.400391,13261.980469,13193.750000,13236.419922
2019-11-27,13291.089844,13314.919922,13219.429688,13287.070313
2019-11-28,13247.610352,13259.290039,13215.709961,13245.580078
2019-11-29,13179.250000,13290.330078,13165.070313,13236.379883
2019-12-02,13264.929688,13338.250000,12954.500000,12964.679688
2019-12-03,13039.610352,13086.030273,12927.070313,12989.290039
2019-12-04,12998.660156,13157.360352,12995.320313,13140.570313
2019-12-05,13144.379883,13188.639648,13054.799805,13054.799805
2019-12-06,13087.509766,13171.209961,13055.980469,13166.580078
2019-12-09,13147.570313,13170.769531,13100.240234,13105.610352
2019-12-10,13065.830078,13091.709961,12886.549805,13070.719727
2019-12-11,13075.429688,13169.769531,13042.700195,13146.740234
2019-12-12,13167.559570,13287.809570,13105.070313,13221.639648
2019-12-13,13383.259766,13423.410156,13255.549805,13282.719727
2019-12-16,13349.860352,13425.849609,13338.379883,13407.660156
2019-12-17,13391.269531,13394.469727,13269.429688,13287.830078
2019-12-18,13266.349609,13286.000000,13215.879883,13222.160156
2019-12-19,13226.700195,13248.980469,13140.219727,13211.959961
2019-12-20,13210.259766,13324.110352,13201.799805,13318.900391
2019-12-23,13304.769531,13331.860352,13285.549805,13300.980469
2019-12-27,13338.320313,13381.440430,13311.519531,13337.110352
2019-12-30,13301.429688,13316.620117,13244.169922,13249.009766
2020-01-02,13233.709961,13425.030273,13225.160156,13385.929688
2020-01-03,13266.389648,13282.740234,13120.719727,13219.139648
2020-01-06,13085.490234,13143.110352,12948.169922,13126.990234
2020-01-07,13199.589844,13283.879883,13166.400391,13226.830078
2020-01-08,13140.490234,13334.040039,13106.269531,13320.179688
2020-01-09,13474.759766,13523.339844,13456.780273,13495.059570
2020-01-10,13533.459961,13548.200195,13483.309570,13483.309570
2020-01-13,13521.860352,13529.209961,13404.719727,13451.519531
2020-01-14,13439.200195,13487.900391,13362.200195,13456.490234
